d freq
0 4
1 8
2 13
3 18
4 24
5 27
6 32
7 41
8 56
9 76
10 94
11 110
12 124
13 127
14 122
15 111
16 96
17 77
18 58
19 43
20 29
21 18
22 11
23 6
24 4
25 2
26 1
