d freq
0 5
1 8
2 13
3 17
4 23
5 26
6 33
7 41
8 55
9 73
10 92
11 110
12 123
13 129
14 125
15 113
16 92
17 74
18 59
19 42
20 30
21 20
22 13
23 7
24 4
25 2
26 1
