d freq
0 3951
1 5123
2 3496
3 585
4 215
5 72
6 47
7 62
8 110
9 199
10 342
11 564
12 887
13 1323
14 1880
15 2515
16 3213
17 3913
18 4529
19 5013
20 5272
21 5338
22 5149
23 4779
24 4243
25 3628
26 2989
27 2387
28 1814
29 1353
30 966
31 671
32 452
33 296
34 189
35 118
36 72
37 44
38 25
39 14
40 8
41 4
42 2
43 1
