d freq
0 6
1 10
2 6
3 10
4 13
5 16
6 20
7 24
8 25
9 24
10 23
11 22
12 20
13 20
14 17
15 16
16 14
17 13
18 11
19 9
20 7
21 5
22 5
23 4
24 3
25 3
26 2
27 3
28 2
29 1
30 1
33 1
34 1
