d freq
0 3040587
1 549995
2 59822
3 152092
4 573629
5 858521
6 800688
7 618510
8 438114
9 297495
10 198081
11 132508
12 89849
13 60739
14 40910
15 27357
16 18188
17 12176
18 8131
19 5417
20 3717
21 2587
22 1866
23 1392
24 1036
25 787
26 618
27 492
28 391
29 321
30 266
31 225
32 188
33 145
34 122
35 103
36 81
37 65
38 58
39 52
40 44
41 34
42 31
43 25
44 23
45 20
46 15
47 13
48 12
49 10
50 9
51 8
52 6
53 4
54 4
55 4
56 3
57 3
58 4
59 3
60 3
61 3
62 2
63 1
64 1
65 1
66 1
67 1
68 1
