Graph,UnionFind,DTree,DBL
Tech,1.3536973856386815e-06,1.3098834302646283e-06,3.108454972840224e-06
EN,1.4527434068170266e-06,1.7186961125951548e-06,1.0643895327148693e-05
ST,1.5892428411167663e-06,3.0581969073036157e-06,5.346295624486033e-06
YT,1.7935923323404183e-06,3.832177705391475e-06,6.960930384470621e-06
SC,0,0,0
