Graph,UnionFind,DTree,DBL
Tech,1.819515910024968e-06,3.432354701669621e-06,0.00023245192132593593
EN,1.7261557444169084e-06,2.778003336420468e-06,8.159701017627746e-05
ST,1.923976532371851e-06,4.152715192709113e-06,0.00015614595639820976
YT,1.9260423663337793e-06,4.260376532958402e-06,0.0002902613694171493
SC,0,0,0
