ts,Dtree,nDtree,HK,ET,opt
1096101560,0.058473845943808556,0.048749834299087524,0.08851142786443233,0.09033360332250595,0.045704739168286324
1096219061,0.17834083177149296,0.156094528734684,0.28977041132748127,0.2951580099761486,0.14010800793766975
1096336562,0.2511531822383404,0.22358178719878197,0.4579248018562794,0.4431387223303318,0.1984299086034298
1096454063,0.35601855628192425,0.31447270698845387,0.6223265007138252,0.6686415933072567,0.2758093513548374
1096571564,0.50905591994524,0.4498104229569435,0.918196402490139,0.9116266779601574,0.3983265645802021
1096689065,0.6467470154166222,0.5927249547094107,1.19814757630229,1.1758173760026693,0.5068510845303535
1096806566,0.7942165788263083,0.7284498531371355,1.4597836714237928,1.4807243403047323,0.6220470331609249
1096924067,0.9515324216336012,0.9035047329962254,1.8546440098434687,1.874245222657919,0.7510816026479006
1097041568,1.0970835518091917,1.0311676766723394,2.233982065692544,2.3127157241106033,0.8615198601037264
1097159069,1.3204525485634804,1.2476854007691145,2.532375467941165,2.828005747869611,1.039112713187933
1097276570,1.5409540105611086,1.4467926602810621,3.0218006912618876,3.0892290119081736,1.2063978035002947
1097394071,1.5830696895718575,1.5844158697873354,3.17445825971663,3.367220686748624,1.2232584934681654
1097511572,1.536184910684824,1.4990444406867027,3.210447482764721,3.5289140325039625,1.2087877094745636
1097629073,1.5788445435464382,1.8161541242152452,3.42792752571404,3.260391989722848,1.2444279361516237
1097746574,1.4366651996970177,1.4420904982835054,2.938099456951022,2.846812216565013,1.1058247815817595
1097864075,1.4857819713652134,1.729073278605938,3.195785764604807,2.88141006231308,1.1947352085262537
1097981576,1.5647873915731907,2.03246090747416,3.2570811472833157,3.050740396603942,1.2298349868506193
1098099077,1.5897271148860455,2.3326645493507385,3.264602903276682,3.1430319007486105,1.242277778685093
1098216578,1.6363999303430319,1.8074120450764894,3.2004468087106943,3.0562361739575863,1.259461423382163
1098334079,1.7343261670321226,1.8000891022384167,3.701962549239397,3.553442446514964,1.352181600406766
1098451580,1.790984546765685,2.0802924893796444,3.5232293773442507,3.6410091258585453,1.3877074159681797
1098569081,1.879756035283208,2.1420276816934347,3.6695183236151934,3.823975220322609,1.4732248913496733
1098686582,1.8836445566266775,2.0995529796928167,3.733544358983636,3.7215690091252327,1.4704039115458727
1098804083,1.902027091011405,2.3715101797133684,3.7317992858588696,3.9533817749470472,1.5078972540795803
1098921584,1.9736637081950903,2.25453301332891,4.120125008746982,3.943019386380911,1.5437712166458368
1099039085,2.0728850290179253,2.242996232584119,4.275194223970175,4.1198603473603725,1.6298981830477715
1099156586,2.237396938726306,2.9770687501877546,4.694577548652887,4.438530530780554,1.7513611745089293
