ts,Dtree,nDtree,HK,ET,opt
1081710722,0.0,0.0,0.0,0,0
1082927524,1.9583332925347232,2.7647058281430232,2.8799999424000013,0,0
1084144326,2.1445782874147197,2.241379284581847,2.287356295547629,0,0
1085361128,1.9612402948741063,2.3407407234019204,2.421052613375544,0,0
1086577930,1.8963414518515764,2.2426035370260147,2.2619047484410433,0,0
1087794732,2.0095693683752662,2.2476635408987686,2.43661970687033,0,0
1089011534,2.0210970378856667,2.227272718069121,2.3775933511303182,0,0
1090228336,2.1818181738842974,2.390845062004067,2.537102464533207,0,0
1091445138,2.0238095177862814,2.276162784080922,2.4418604580178473,0,0
1092661940,1.939534879210384,2.3463302698478663,2.4539170450370573,0,0
1093878742,1.91999999616,2.203557307898108,2.29761904306028,0,0
1095095544,1.8582089517570728,2.1236162322442507,2.211111107016461,0,0
1096312346,2.0160513611299336,2.3137876350019213,2.3381642474425695,0,0
1097529148,2.0192554531203397,2.743811877792312,2.8507462651110123,0,0
1098745950,2.195953139301434,3.080757723747998,3.1879468813197684,0,0
1099962752,2.1601423468326133,3.1830394599638625,3.2811447783828744,0,0
1101179554,2.1363284259207367,3.4555873900747938,3.2674418580905216,0,0
1102396356,2.163187854419236,3.6167630036897322,3.4662004641805355,0,0
1103613158,2.182124787980818,3.757760812337017,3.5229263248207485,0,0
1104829960,2.2253739029265733,3.712681327228507,3.4846190234336873,0,0
1106046762,2.250724636593853,3.727232923061632,3.5022222206656792,0,0
1107263564,2.2709991148227235,3.6423653286179163,3.4554822739260174,0,0
1108480366,2.2665827026588654,3.6336405515999846,3.4516504840964464,0,0
1109697168,2.290130795762929,3.598909089600397,3.4846919942881995,0,0
1110913970,2.3214010768585833,3.5666784564673937,3.493381036317216,0,0
1112130772,2.443409741245197,3.728702488948656,3.556108896561717,0,0
1113347574,2.4805151907263823,3.7274652136335558,3.5738357832188004,0,0
1114564376,2.4676524946187146,3.84331281369801,3.6392512752015738,0,0
1115781178,2.4576074325035986,3.9215429010964202,3.701115833235623,0,0
1116997980,2.448494452602088,3.8525257352519686,3.6773170722738246,0,0
1118214782,2.4690890733108533,3.9305080875072886,3.7554057187269456,0,0
1119431584,2.5236001845155944,4.168189367905276,3.8017112291333235,0,0
1120648386,2.6431670276262107,4.278574195219183,3.971144277816687,0,0
1121865188,2.65759999946848,4.368824682652251,4.175898751985345,0,0
1123081990,2.66140845020443,4.372124040618185,4.268221573612035,0,0
1124298792,2.67553096507665,4.529095508455234,4.352280129584319,0,0
1125515594,2.741457858323876,4.641490432363474,4.4831226759132905,0,0
1126732396,2.6975564772249028,4.713819811833969,4.585988158361152,0,0
1127949198,2.6705831777230857,4.801750379908453,4.623554152914885,0,0
1129166000,2.7345192826270344,4.890186633968671,4.696151923451255,0,0
1130382802,2.7401854906949326,5.037012262537679,4.790632969535053,0,0
1131599604,2.7498216405767155,5.177474402194903,4.8706515880591645,0,0
1132816406,2.7645371286809515,5.2733785456802575,4.956513085385957,0,0
1134033208,2.7984608982114745,5.333904109108336,5.01754385917839,0,0
1135250010,2.9024581331013164,5.416941136270843,5.018191451340675,0,0
1136466812,2.9389007716043056,5.382531564217474,5.0215044761926615,0,0
1137683614,2.88881026069095,5.59074759954715,5.092141780581069,0,0
1138900416,2.870579445220772,5.754791710463626,5.1393260091197055,0,0
1140117218,2.8310534588969296,5.884956942553488,5.181581172126439,0,0
1141334020,2.8230220104979904,6.000830140102118,5.275702810891854,0,0
1142550822,2.8086337022777292,6.03770382457188,5.303933405013412,0,0
1143767624,2.8292584358571253,6.035357328208715,5.303696969375533,0,0
