ts,Dtree,nDtree,HK
1165925484,0.0,0.0,0.0
1166145768,0.0,0.0,0.0
1166366052,0.0,0.0,0.0
1166586336,0.0,0.0,0.0
1166806620,0.0,0.0,0.0
1167026904,5.336759159805304e-05,3.969760346780178e-05,0.00040054048842008667
1167247188,3.6808396558585676e-05,4.65966804587541e-05,0.000321556012707406
1167467472,4.385195970052738e-05,4.235451706278897e-05,0.00031376352081993633
1167687756,3.72936897588842e-05,4.994616533569167e-05,0.00033694071534285985
1167908040,4.106955235981026e-05,4.291398768009339e-05,0.0004153525230783338
1168128324,5.7513479118528004e-05,4.598627635104806e-05,0.0003816306452655922
1168348608,6.122972421566674e-05,5.774399377902694e-05,0.0004375029725966334
1168568892,5.3674004274863925e-05,5.215324686190017e-05,0.00039245129497762575
1168789176,4.968017775245863e-05,5.453297311784978e-05,0.0003877297130998068
1169009460,4.9554356993833414e-05,5.328083255393795e-05,0.00039296784459596525
1169229744,4.487145837381306e-05,4.4362050253155254e-05,0.0003006287470711908
1169450028,5.4220444213458185e-05,4.3454915970659206e-05,0.0002916923126329618
1169670312,4.516870074153505e-05,4.163616535881356e-05,0.00027459544920640713
1169890596,4.114687880211452e-05,3.854932190297956e-05,0.0002360918677972277
1170110880,4.695953337146521e-05,3.3646664163689455e-05,0.00020660444318006203
1170331164,4.291788774686999e-05,2.6611005680188955e-05,0.00011829051482541889
1170551448,0.0,0.0,0.0
1170771732,0.0,0.0,0.0
1170992016,0.0,0.0,0.0
1171212300,0.0,0.0,0.0
1171432584,0.0,0.0,0.0
1171652868,0.0,0.0,0.0
1171873152,0.0,0.0,0.0
1172093436,0.0,0.0,0.0
1172313720,4.1192219145875323e-05,2.9889015514452825e-05,0.00019345733762090426
1172534004,4.27676584414528e-05,4.8230858918734406e-05,0.000303691277024728
1172754288,4.9400873716235816e-05,5.190598854837939e-05,0.00035180624251752914
1172974572,4.322233583035785e-05,5.2837359547001576e-05,0.0003292565596156024
1173194856,7.036392486667095e-05,5.8460096740452095e-05,0.0003576169126572977
1173415140,5.2787459133288085e-05,4.8304519786212604e-05,0.00033549459083462584
1173635424,5.272281774852245e-05,5.1308424269048595e-05,0.0004126113146620576
1173855708,4.6314135803674916e-05,5.49317967728014e-05,0.000692212435906224
1174075992,4.046889832522821e-05,5.211123199421672e-05,0.000331269965095404
1174296276,4.260611314678295e-05,5.440556511156335e-05,0.0003862817538135884
1174516560,3.8507526510334764e-05,5.472181275841568e-05,0.0003294166261288341
1174736844,4.4675724233821814e-05,5.4701032604619915e-05,0.0003041712944378887
1174957128,4.274918375714406e-05,5.192529564678929e-05,0.00033842875529844097
1175177412,4.603894939156568e-05,4.805315617826158e-05,0.00033209987542887813
1175397696,5.0371311562440455e-05,4.5788187002522695e-05,0.00038967455640687973
1175617980,4.225100677558278e-05,4.6883825398250174e-05,0.00035004340346897895
1175838264,4.226895125798645e-05,4.2191021429916255e-05,0.0003441282654224103
1176058548,4.4213924758933856e-05,4.554691717046093e-05,0.0003490739961630493
1176278832,4.342705522058833e-05,4.4812353719246084e-05,0.0003407434478600679
1176499116,4.4517997266627854e-05,4.376562575173991e-05,0.00039824141705124166
1176719400,4.061498374777845e-05,5.13748867721606e-05,0.00036740128500388
1176939684,5.214825742749095e-05,5.01185056258557e-05,0.00036476271970910603
1177159968,3.883062350794543e-05,4.7800017238102184e-05,0.0003445829033716764
1177380252,5.040214219011159e-05,4.193982890416158e-05,0.0003237268652869598
1177600536,4.5515107438429505e-05,3.387983791654754e-05,0.00025706046375336387
1177820820,3.770501877248745e-05,3.267606472496985e-05,0.0002805796486610683
1178041104,3.759555992371731e-05,3.5124695081940374e-05,0.0007029546510968672
1178261388,4.6212259311889206e-05,4.0353275761053774e-05,0.0002748668090457866
1178481672,4.6109837071658626e-05,3.827605521655287e-05,0.0003199038465022897
1178701956,4.294439356187868e-05,4.290173713110447e-05,0.0003360909138946279
1178922240,5.2313334887654336e-05,4.371977500989098e-05,0.00029184181719067866
1179142524,5.322705586751732e-05,4.237914042974373e-05,0.00033650230564818176
1179362808,4.299035695742602e-05,5.266818811457243e-05,0.00033209463519779216
1179583092,4.071366822467938e-05,4.314365816615847e-05,0.0004011986213669767
1179803376,4.3549071048185055e-05,4.949634348241711e-05,0.0005867947099017607
1180023660,4.536686008378717e-05,4.5945457779096356e-05,0.0004345385126738114
1180243944,4.7184553697674754e-05,4.755738732332063e-05,0.0003661905713381613
1180464228,4.546039893992769e-05,4.404037358751158e-05,0.0003757545130128128
1180684512,4.234765119124178e-05,4.4394837994662155e-05,0.0003568207316385485
1180904796,4.0874577175447697e-05,4.439834560513807e-05,0.00038651126405174317
1181125080,3.988773470193419e-05,4.328414441946231e-05,0.0004107426975865385
1181345364,4.775271399357031e-05,4.687764850858895e-05,0.00039594231211294685
1181565648,4.009910325990137e-05,5.448086141346988e-05,0.0003930268740243801
1181785932,4.220628217750202e-05,5.27232083876085e-05,0.0003939145373356221
1182006216,6.943396579378567e-05,4.934000586445697e-05,0.0003475068636974639
1182226500,4.1798076310928885e-05,6.0107236764028805e-05,0.00038606366348136194
1182446784,4.700670816936052e-05,6.339649188354701e-05,0.0004077606865559988
1182667068,4.1774629164209396e-05,5.728909507793706e-05,0.00037971371211336833
1182887352,3.9367646965559784e-05,4.618359231793644e-05,0.0004568538181438552
1183107636,4.340360042591185e-05,4.749972781537686e-05,0.0006451701558623117
1183327920,4.626164137848336e-05,4.797457961318714e-05,0.0003946257478625648
1183548204,5.758789339448926e-05,4.896831952412706e-05,0.0004411767773779319
1183768488,4.6517952330291065e-05,4.542641075271901e-05,0.0005272839285531542
1183988772,4.629745666050148e-05,5.418906742865468e-05,0.0004123540248588162
1184209056,5.052393007671236e-05,4.648566155718424e-05,0.0004885132678360389
