ts,Dtree,nDtree,HK,ET,opt
1423733250,0.0,0.0,0.0,0.0,0.0
1424167867,0.0,0.0,0.0,0.0,0.0
1424602484,0.0,0.0,0.0,0.0,0.0
1425037101,0.0,0.0,0.0,0.0,0.0
1425471718,0.0,0.0,0.0,0.0,0.0
1425906335,0.0,0.0,0.0,0.0,0.0
1426340952,0.0,0.0,0.0,0.0,0.0
1426775569,0.0,0.0,0.0,0.0,0.0
1427210186,0.0,0.0,0.0,0.0,0.0
1427644803,0.0,0.0,0.0,0.0,0.0
1428079420,0.0,0.0,0.0,0.0,0.0
1428514037,0.0,0.0,0.0,0.0,0.0
1428948654,0.0,0.0,0.0,0.0,0.0
1429383271,0.0,0.0,0.0,0.0,0.0
1429817888,0.0,0.0,0.0,0.0,0.0
1430252505,0.0,0.0,0.0,0.0,0.0
1430687122,0.0,0.0,0.0,0.0,0.0
1431121739,0.0,0.0,0.0,0.0,0.0
1431556356,0.0,0.0,0.0,0.0,0.0
1431990973,0.0,0.0,0.0,0.0,0.0
1432425590,0.0,0.0,0.0,0.0,0.0
1432860207,0.0,0.0,0.0,0.0,0.0
1433294824,0.0,0.0,0.0,0.0,0.0
1433729441,0.0,0.0,0.0,0.0,0.0
1434164058,0.0,0.0,0.0,0.0,0.0
1434598675,0.0,0.0,0.0,0.0,0.0
1435033292,0.0,0.0,0.0,0.0,0.0
1435467909,0.0,0.0,0.0,0.0,0.0
1435902526,0.0,0.0,0.0,0.0,0.0
1436337143,0.0,0.0,0.0,0.0,0.0
1436771760,0.0,0.0,0.0,0.0,0.0
1437206377,0.0,0.0,0.0,0.0,0.0
1437640994,0.0,0.0,0.0,0.0,0.0
1438075611,1.1529658177157852e-05,3.640876064441107e-05,1.3114753348201685e-05,7.474720236661463e-06,0.007602993737418544
1438510228,0.0,0.0,0.0,0.0,0.0
1438944845,0.0,0.0,0.0,0.0,0.0
1439379462,0.0,0.0,0.0,0.0,0.0
1439814079,0.0,0.0,0.0,0.0,0.0
1440248696,0.0,0.0,0.0,0.0,0.0
1440683313,0.0,0.0,0.0,0.0,0.0
1441117930,0.0,0.0,0.0,0.0,0.0
