d freq
0 108
1 138
2 371
3 448
4 698
5 581
6 705
7 954
8 736
9 982
10 807
11 1135
12 842
13 734
14 558
15 364
16 267
17 196
18 160
19 115
20 78
21 85
22 62
23 54
24 48
25 32
26 30
27 22
28 14
29 13
30 11
31 12
32 8
33 5
34 4
35 3
36 2
37 1
