d freq
0 70
1 95
2 69
3 27
4 16
5 16
6 23
7 39
8 65
9 108
10 168
11 251
12 361
13 488
14 629
15 765
16 886
17 977
18 997
19 970
20 917
21 808
22 706
23 566
24 446
25 321
26 242
27 152
28 96
29 54
30 32
31 16
32 8
33 4
34 1
35 1
